Comment,Designator,Footprint,LCSC Part Number
74HC595_1,74hc595,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C5947
74HC595_2,74hc595_2,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C5947
100nF,"C1,C2,C3",Capacitor_SMD:C_0603_1608Metric,C14663
220Ω,"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16",Resistor_SMD:R_0603_1608Metric,C21189
C74HC4067,cd4067d1,CD4067BME4:SOIC127P1030X265-24N,C496123
