Comment,Designator,Footprint,LCSC Part Number
CD74HC4067M,74hc4067,Package_SO:SSOP-24_5.3x8.2mm_P0.65mm,C98457
100nF,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16",Capacitor_SMD:C_0603_1608Metric,C14663
WS2812B,"D1,D3,D5,D7,D9,D11,D13,D15,D17,D19,D21,D23,D25,D27,D29,D31",LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C114586
